idx,date,week,day,time,id,step,loc
256,08월 29일,2,3,15:00,,,신촌
257,08월 29일,2,3,15:30,,,신촌
258,08월 29일,2,3,16:00,,,신촌
259,08월 29일,2,3,16:30,,,신촌
260,08월 29일,2,3,17:00,,,신촌
261,08월 29일,2,3,17:30,,,신촌
262,08월 29일,2,3,18:00,,,신촌
263,08월 29일,2,3,18:30,저녁수업,,신촌
264,08월 29일,2,3,19:00,저녁수업,,신촌
265,08월 29일,2,3,19:30,저녁수업,,신촌
266,08월 29일,2,3,20:00,저녁수업,,신촌
267,08월 29일,2,3,20:30,저녁수업,,신촌
268,08월 29일,2,3,21:00,저녁수업,,신촌
269,08월 29일,2,3,21:30,저녁수업,,신촌
270,08월 29일,2,3,22:00,저녁수업,,신촌
271,08월 30일,2,4,9:00,아침수업,,강남
272,08월 30일,2,4,9:30,아침수업,,강남
273,08월 30일,2,4,10:00,아침수업,,강남
274,08월 30일,2,4,10:30,아침수업,,강남
275,08월 30일,2,4,11:00,아침수업,,강남
276,08월 30일,2,4,11:30,아침수업,,강남
277,08월 30일,2,4,12:00,아침수업,,강남
278,08월 30일,2,4,12:30,아침수업,,강남
279,08월 30일,2,4,13:00,아침수업,,강남
280,08월 30일,2,4,13:30,아침수업,,강남
281,08월 30일,2,4,14:00,,,강남
282,08월 30일,2,4,14:30,,,강남
283,08월 30일,2,4,15:00,,,강남
284,08월 30일,2,4,15:30,,,강남
285,08월 30일,2,4,16:00,,,강남
286,08월 30일,2,4,16:30,,,강남
287,08월 30일,2,4,17:00,,,강남
288,08월 30일,2,4,17:30,,,강남
289,08월 30일,2,4,18:00,,,강남
290,08월 30일,2,4,18:30,저녁수업,,강남
291,08월 30일,2,4,19:00,저녁수업,,강남
292,08월 30일,2,4,19:30,저녁수업,,강남
293,08월 30일,2,4,20:00,저녁수업,,강남
294,08월 30일,2,4,20:30,저녁수업,,강남
295,08월 30일,2,4,21:00,저녁수업,,강남
296,08월 30일,2,4,21:30,저녁수업,,강남
297,08월 30일,2,4,22:00,저녁수업,,강남
298,08월 31일,2,5,9:00,,,강남
299,08월 31일,2,5,9:30,,,강남
300,08월 31일,2,5,10:00,,,강남
301,08월 31일,2,5,10:30,,,강남
302,08월 31일,2,5,11:00,,,강남
303,08월 31일,2,5,11:30,,,강남
